HeLa mRNA decay rates			
Gene	Rate	Error	Level
MOBKL3	0.0014	0.05	2143.4
MOCOS	-0.0018	0.16	645.3
MOCS2	-0.0039	0.05	803.4
MOGS	0.003	0.22	493.7
MON1A	0.0018	0.1	615.6
MON1B	0.0029	0.21	642.5
MORC4	0.0001	0.23	641.3
MORF4L1	-0.0026	0.04	14403.4
MORF4L2	-0.002	0.12	5119.9
MORN2	-0.004	0.26	988.3
MORN4	-0.0014	0.24	102.7
MOSC1	0.0002	0.1	2051.2
MOSC2	0.001	0.06	389.8
MOSPD1	0.002	0.17	1433.5
MOV10	-0.0018	0.05	468.8
MPDU1	0	0.08	2450.2
MPDZ	-0.0033	0.26	362.7
MPG	0.001	0.12	616.3
MPHOSPH10	0.0099	0.19	2492.6
MPHOSPH6	0.0001	0.15	1711.3
MPHOSPH8	0.0013	0.16	679.5
MPHOSPH9	-0.0015	0.08	532.1
MPI	-0.0001	0.2	487.7
MPND	0.0032	0.33	254.5
MPP1	-0.0025	0.17	263.6
MPP2	0.0001	0.24	271.3
MPP5	0.003	0.18	1196.7
MPP6	-0.0003	0.15	673
MPPE1	0	0.12	449.7
MPRIP	-0.0003	0.06	3080.5
MPST	0.0021	0.39	797.8
MPV17L	-0.0042	0.33	338.9
MPV17L2	0.0001	0.22	837.5
MPZL1	-0.0008	0.11	1280.9
MPZL2	-0.0036	0.17	237.5
MPZL3	0.0026	0.46	129.5
MRAS	-0.0011	0.36	139.7
MRC2	-0.0051	0.25	373.4
MRE11A	-0.0004	0.46	550.9
MRFAP1	-0.0016	0.17	21895.7
MRFAP1L1	0.0056	0.16	4259.4
MRGPRF	0.0035	0.08	679.5
MRI1	-0.0031	0.05	1854.9
MRP63	-0.0005	0.09	3504.9
MRPL1	-0.0007	0.08	5796.4
MRPL10	0.0051	0.18	4355.9
MRPL11	-0.0005	0.1	3153.5
MRPL12	-0.0015	0.06	3556.9
MRPL13	-0.001	0.21	6427.3
MRPL14	0.0012	0.07	6485.5
MRPL15	0.0004	0.03	7205.2
MRPL16	0.0015	0.06	6412.6
MRPL17	0.0032	0.37	5795.5
MRPL18	0.0001	0.13	6431.1
MRPL20	-0.0036	0.13	7684.1
MRPL21	0.0007	0.18	4703.5
MRPL22	-0.0007	0.32	4549.8
MRPL23	0.0007	0.23	1520.1
MRPL24	-0.0019	0.26	3586.2
MRPL27	0.0001	0.1	7406.7
MRPL28	-0.0005	0.23	1705.8
MRPL3	-0.0023	0.07	16919.3
MRPL30	-0.0026	0.07	1981.8
MRPL32	-0.0032	0.07	5449.7
MRPL33	-0.0055	0.05	4840.8
MRPL34	0.001	0.2	6574.9
MRPL35	0.0006	0.19	1558.8
MRPL36	-0.0014	0.22	15028.4
MRPL37	0.0015	0.21	6324.7
MRPL38	-0.0001	0.21	1721.4
MRPL39	0.0023	0.06	2037.7
MRPL4	0.0006	0.09	961.4
MRPL40	-0.0002	0.15	4538
MRPL41	-0.0012	0.1	3546
MRPL42	-0.0007	0.03	3700.8
MRPL43	-0.0011	0.03	2361.5
MRPL44	0.0035	0.1	1050.5
MRPL46	0.0018	0.11	2636.7
MRPL47	-0.0016	0.06	8632.6
MRPL48	-0.0024	0.18	3685.4
MRPL49	0.0006	0.19	3639.7
MRPL50	-0.0027	0.27	1201.2
MRPL51	-0.0013	0.08	6937.1
MRPL52	-0.001	0.06	1483.6
MRPL54	-0.0001	0.11	2614.2
MRPL9	-0.0004	0.02	4614.1
MRPS10	-0.0003	0.04	3686.5
MRPS11	0.0009	0.06	4403.4
MRPS12	0.0013	0.2	1940.7
MRPS14	0.0006	0.09	1902.1
MRPS15	-0.0005	0.2	9073.6
MRPS16	-0.0024	0.15	5243.9
MRPS18A	0.0006	0.04	1487.6
MRPS18B	-0.001	0.05	3820.6
MRPS18C	-0.0007	0.35	3504.8
MRPS2	0.0008	0.04	3529.7
MRPS21	0	0.14	8837.4
MRPS22	-0.0016	0.06	3487.7
MRPS23	0.0005	0.23	6355.2
MRPS24	-0.0012	0.12	11191.8
MRPS25	-0.0001	0.1	1639.2
MRPS26	0.0014	0.17	1762.6
MRPS27	0.0004	0.19	1871.3
MRPS28	-0.0011	0.01	1363.1
MRPS30	0.0016	0.09	2455.8
MRPS31	0.0001	0.16	911.9
MRPS33	0.0005	0.1	2253.2
MRPS34	0	0.37	2775.6
MRPS35	0.0013	0.05	5874.6
MRPS36	-0.0007	0.06	3915.8
MRPS5	0.0015	0.02	906.1
MRPS6	-0.0027	0.03	3322.5
MRPS7	-0.0003	0.13	4905.9
MRPS9	0.0005	0.08	2082.3
MRRF	0.0001	0.07	2965.6
MRS2	-0.0021	0.09	440.9
MRTO4	-0.0003	0.17	3112.3
MSH2	-0.0017	0.23	3222.4
MSH3	-0.0045	0.46	510.9
MSH5	0.0007	0.31	330.9
MSH6	0.0012	0.08	4056.6
MSI2	-0.0012	0.19	643.7
MSL1	0.0056	0.21	1475.5
MSL3	-0.0013	0.17	652.1
MSLN	-0.0015	0.13	899.7
MSN	-0.0053	0.08	7232.6
MSRB2	-0.0006	0.1	461
MSRB3	-0.0021	0.09	978.1
MST1R	0.0005	0.23	343.2
MSTO1	0.0004	0.09	797.3
MSX1	0.0086	0.07	1032.5
MSX2	0.011	0.39	104
MT1E	0.0002	0.09	9630.7
MT1F	-0.001	0.13	1408.5
MT1G	-0.0037	0.03	855.7
MT1X	-0.0019	0.05	6235.5
MT2A	-0.0006	0.13	16617
MTA1	-0.0008	0.44	815.3
MTA3	-0.0016	0.25	454.4
MTAP	-0.0004	0.13	576
MTCH1	-0.0022	0.03	11248.8
MTCH2	-0.0022	0.06	5781.4
MTDH	-0.0009	0.07	2572.7
MTERFD1	-0.001	0.09	1677.6
MTERFD2	0.0003	0.16	222.2
MTERFD3	0.0051	0.19	478.7
MTF1	0.0089	0.31	343.5
MTF2	0.0066	0.07	1172.6
MTFMT	0.0011	0.18	646.5
MTFR1	-0.0009	0.24	2800.8
MTG1	-0.0004	0.39	374.2
MTHFD1	-0.0028	0.04	5626
MTHFD1L	-0.0011	0.05	2268.6
MTHFD2	-0.0002	0.17	4837.1
MTHFS	-0.0009	0.18	1292.6
MTIF2	-0.0005	0.09	4208.9
MTIF3	-0.0007	0.17	476.8
MTMR1	-0.0007	0.12	839.6
MTMR10	0.0009	0.26	244.9
MTMR11	-0.001	0.21	175.8
MTMR14	0.0018	0.07	1378.8
MTMR15	0.0016	0.16	525.8
MTMR2	0.0006	0.05	2516.5
MTMR3	0.0029	0.43	121.5
MTMR4	0.0016	0.22	1200
MTMR9	0.0008	0.05	629.9
MTO1	0	0.06	1642.6
MTOR	-0.004	0.38	202
MTPN	-0.0017	0.14	7928.1
MTRF1	-0.0008	0.39	230.2
MTRF1L	-0.0008	0.13	622.8
MTRR	0.0016	0.09	5106.2
MTUS1	0.0041	0.09	589.8
MTX1	-0.0001	0.04	4457.5
MTX2	-0.0005	0.15	1988.5
MTX3	-0.0005	0.19	522.7
MUC1	-0.0016	0.33	506.9
MUC13	-0.0012	0.46	285
MUDENG	0.0017	0.08	1056.1
MUL1	0.0068	0.34	641.2
MUM1	0.0005	0.12	276
MUS81	0.0042	0.09	1075.7
MUT	-0.0003	0.08	1955.6
MUTED	0.0017	0.04	749.1
MUTYH	-0.0002	0.41	804.1
MVK	0.0016	0.49	146.2
MVP	0.0006	0.11	417.2
MXD4	0.0014	0.16	609.2
MXI1	0.0007	0.15	4343
MXRA7	-0.0025	0.03	3469.1
MYADM	0.0006	0.37	975.7
MYBBP1A	0.0009	0.12	844.3
MYBL1	0.002	0.08	773.8
MYBL2	-0.0022	0.13	3006.3
MYCBP	-0.0028	0.1	1578.9
MYCBP2	0	0.15	1603.4
MYD88	0.0016	0.18	1784
MYEOV2	-0.0034	0.05	1257.8
MYH9	-0.0008	0.09	836.5
MYL12B	-0.0033	0.12	13999.5
MYL6	-0.0015	0.12	13240.3
MYL9	-0.001	0.07	1649.2
MYNN	0.0107	0.17	714.2
MYO10	0.0011	0.14	918
MYO19	0.0021	0.19	633.3
MYO1B	-0.0017	0.17	777
MYO1C	-0.001	0.09	1419.5
MYO1E	0.0042	0.14	358.8
MYO5A	-0.0042	0.3	190.7
MYO5B	-0.0023	0.06	525
MYO5C	-0.0007	0.19	229.6
MYO6	0.0008	0.32	460.2
MYO9A	0.0019	0.41	218.2
MYO9B	0.0004	0.37	429.6
MYOCD	0.0036	0.26	522.6
MYOF	-0.002	0.01	4044.5
MYPN	0.0002	0.27	504.3
MYPOP	0.003	0.24	254.4
MYST1	-0.0024	0.15	477.9
MYST2	0.0035	0.14	1060.6
MYST3	0.0071	0.12	399.6
MYST4	0.0086	0.04	383.9
MZF1	0.002	0.26	348.1
N4BP1	0.004	0.07	303.5
N4BP2	-0.001	0.46	403
N6AMT1	0.0035	0.19	184.6
NAAA	-0.0016	0.13	431.4
NAB1	0.0002	0.13	689.7
NAB2	0.0081	0.47	151.2
NACA	-0.0014	0.44	18281.6
NACAP1	-0.0045	0.46	1360.2
NACC2	0.0076	0.15	503.5
NADK	-0.0032	0.17	1625.5
NADSYN1	-0.0026	0.35	251.7
NAE1	-0.0014	0.06	9423.1
NAGA	-0.0003	0.19	617.7
NAGK	0.0014	0.05	2696.3
NAGLU	-0.0006	0.4	136.1
NAGPA	0.0024	0.27	735.7
NAGS	0.0091	0.25	149
NAIF1	0.0109	0.22	302.1
NAIP	0.0014	0.33	123.2
NALCN	-0.0014	0.34	110.9
NANOS1	-0.0009	0.22	410.6
NANP	0.0186	0.33	842.1
NANS	-0.0024	0.09	3772.8
NAP1L1	-0.0027	0.05	7987.9
NAP1L4	0.0017	0.01	1983.9
NAP1L5	0.0002	0.35	679.7
NAPA	-0.001	0.06	1762.4
NAPG	-0.0018	0.02	742.7
NAPRT1	-0.0001	0.11	1896.5
NARF	-0.0001	0.14	2540.3
NARFL	0.003	0.23	256.8
NARG1	-0.0011	0.36	1421.2
NARG1L	-0.0021	0.19	334
NARG2	-0.002	0.36	512.6
NARS	-0.0029	0.05	9523.8
NARS2	0	0.01	3320.4
NASP	0	0.07	4212.4
NAT1	0.0053	0.17	705.6
NAT10	0.0017	0.26	3008.9
NAT11	-0.0012	0.12	626.2
NAT12	0.0053	0.08	544.5
NAT13	-0.0047	0.06	2685.9
NAT14	0.0004	0.45	294.9
NAT15	-0.0011	0.08	1015.9
NAT5	-0.0012	0.12	4626.8
NAT8L	0.0022	0.29	303.4
NAT9	0.0024	0.15	449
NAV1	0.0001	0.16	170.3
NBAS	0.001	0.35	209.8
NBEA	-0.0001	0.24	264.7
NBEAL1	0.0007	0.22	355.3
NBL1	-0.0017	0.21	552.9
NBN	-0.0018	0.17	1233.1
NBPF1	0.0049	0.21	426.7
NBPF4	-0.0027	0.38	282.1
NBR1	-0.0009	0.04	1922.1
NCAPD2	-0.0016	0.07	3197.7
NCAPD3	-0.0014	0.06	1337
NCAPG	-0.0009	0.04	4122.9
NCAPG2	0.0011	0.36	2437
NCAPH	0	0.16	2315
NCAPH2	0.001	0.13	184.9
NCBP1	0.0009	0.04	1340.5
NCBP2	0	0.04	1924.6
NCF2	-0.001	0.07	280.1
NCK1	0.0078	0.13	1057.3
NCK2	0.0026	0.27	328
NCLN	0.0028	0.16	666.5
NCOA1	0.0001	0.09	313.7
NCOA2	0.0015	0.15	109.8
NCOA3	0.0043	0.11	1036.5
NCOA4	0.0006	0.08	8242.9
NCOA5	0.0053	0.1	476.8
NCOA6	0.0035	0.27	855.6
NCOA7	0.0031	0.04	2971.5
NCOR1	-0.0014	0.06	431.6
NCOR2	-0.0014	0.21	532.6
NCRNA00081	-0.0027	0.17	1225.9
NCRNA00094	0.0012	0.12	2722.4
NCRNA00116	0.0014	0.41	936.5
NCRNA00153	-0.0005	0.04	673
NCRNA00162	0.0011	0.34	949.4
NCSTN	-0.0002	0.2	792.5
NCUBE1	-0.0006	0.05	582.9
NDC80	-0.0001	0.05	4446
NDE1	0.0037	0.16	293.8
NDEL1	0.0085	0.18	1460
NDFIP1	-0.0026	0.05	1444.6
NDFIP2	-0.002	0.14	3402.3
NDRG1	-0.0004	0.04	1749.6
NDRG2	-0.0018	0.24	187.6
NDRG3	-0.0004	0.05	1742.6
NDST1	-0.0022	0.04	190.3
NDUFA1	0.0015	0.38	9531.1
NDUFA10	-0.0016	0.08	342.4
NDUFA11	-0.0003	0.04	5195.8
NDUFA12	-0.0016	0.12	11480.5
NDUFA13	-0.0001	0.05	7240.7
NDUFA2	0.0003	0.15	3290.7
NDUFA3	-0.0014	0.08	4236.4
NDUFA4	-0.0026	0.1	11883.5
NDUFA6	-0.0024	0.13	5145.8
NDUFA7	0.0005	0.16	1808.5
NDUFA8	-0.0012	0.13	8535.2
NDUFA9	-0.0004	0.1	7297.2
NDUFAB1	-0.0017	0.13	16816.7
NDUFAF1	-0.0005	0.45	1489.3
NDUFAF2	-0.0021	0.1	4872.6
NDUFAF3	-0.0003	0.15	2484.8
NDUFAF4	0.0022	0.1	1293.7
NDUFB1	-0.002	0.1	7177.9
NDUFB10	-0.0023	0.13	6281.5
NDUFB11	-0.0013	0.05	8300.4
NDUFB2	-0.0017	0.06	4426.9
NDUFB3	-0.0003	0.17	6972.7
NDUFB4	-0.0015	0.12	7487.1
NDUFB5	-0.0017	0.03	6953.4
NDUFB6	-0.0031	0.03	2647.6
NDUFB7	-0.0024	0.2	4215.6
NDUFB8	-0.0003	0.05	6768.4
NDUFB9	-0.0011	0.25	15246.5
NDUFC2	-0.0016	0.13	4670.1
NDUFS1	-0.0016	0.04	1313.1
NDUFS2	-0.0022	0.23	4789.1
NDUFS3	0.0001	0.04	9430.2
NDUFS4	-0.0011	0.04	4335.9
NDUFS5	-0.0021	0.1	16287.5
NDUFS6	-0.0024	0.07	19111
NDUFS7	0.0004	0.18	1024.5
NDUFS8	-0.001	0.06	6041.4
NDUFV1	-0.0014	0.08	6490
NDUFV3	0.0006	0.36	1208.2
NECAB3	-0.0013	0.36	267.9
NECAP1	0.0021	0.3	1021.4
NECAP2	0.0009	0.17	507.3
NEDD1	0.0014	0.35	806
NEDD4	0.0028	0.08	504.7
NEDD4L	0.003	0.16	397
NEDD8	-0.0021	0.16	8567.5
NEFH	-0.0021	0.14	5269.5
NEIL2	0.0008	0.3	302.6
NEIL3	0.0064	0.43	404.9
NEK1	0.0014	0.24	372.4
NEK10	0.0012	0.11	184.1
NEK3	0.0003	0.21	164
NEK4	-0.0022	0.46	1418
NEK6	0	0.07	318.1
NEK7	0	0.03	7313.4
NEK9	-0.0001	0.17	352.5
NELF	0.002	0.29	765.3
NELL2	-0.0027	0.08	626.6
NENF	-0.0005	0.07	1464.1
NES	0.0009	0.49	315.9
NET1	0.0038	0.1	2937.7
NETO2	0.0004	0.09	1213.7
NEU1	-0.0002	0.28	958.8
NEURL1B	0.006	0.07	1039.4
NF1	0.0001	0.01	280.9
NF2	0.0006	0.08	228
NFAT5	0.0028	0.02	573.1
NFATC2	0.0041	0.23	143
NFATC2IP	-0.0022	0.06	1069.4
NFATC3	0.0037	0.14	560.1
NFE2L1	0.001	0.11	2026.3
NFE2L2	0.0041	0.11	1530.8
NFIA	0.0002	0.08	691.1
NFIB	0.0015	0.03	472.8
NFIX	-0.002	0.23	172.3
NFKB1	0.0007	0.23	1478.9
NFKB2	0.0025	0.31	242.9
NFKBIB	-0.0004	0.35	167.6
NFKBIL2	0.0002	0.29	212.5
NFRKB	0.002	0.17	347.1
NFS1	-0.0009	0.1	1022.2
NFU1	-0.0008	0.02	2834.6
NFX1	0.0073	0.07	686.7
NFXL1	0.0111	0.29	960.7
NFYA	0.0085	0.12	372.8
NFYB	0.001	0.13	730
NFYC	0.0013	0.18	701
NGDN	0.0056	0.3	1901.4
NGFRAP1	-0.0003	0.11	19046
NGLY1	-0.0004	0.03	1127.1
NGRN	-0.0012	0.15	5178
NHEDC2	-0.0008	0.24	106.7
NHLRC3	-0.0008	0.06	121.6
NHP2	-0.0013	0.04	11140.1
NHP2L1	-0.0001	0.07	4440.6
NHS	0.0096	0.08	641.4
NHSL1	0.0033	0.29	116.7
NID1	-0.0026	0.1	661
NIF3L1	0.0038	0.13	3516
NIN	-0.0003	0.12	251.2
NINJ2	-0.002	0.05	236.5
NIP7	-0.0003	0.08	1411
NIPA1	0.0016	0.06	890.6
NIPA2	0.0021	0.21	4831.2
NIPAL3	0.0014	0.07	388.6
NIPBL	0.0007	0.08	2215.7
NIPSNAP1	-0.0032	0.25	448
NISCH	-0.0001	0.24	610
NIT1	0.0007	0.1	740.5
NIT2	-0.001	0.05	3595.6
NKAP	-0.0026	0.4	423
NKIRAS1	0.0113	0.22	964.5
NKIRAS2	0.004	0.14	804.6
NKRF	0.0059	0.19	794.2
NKTR	-0.0002	0.08	671.7
NKX3-1	0.001	0.21	179.7
NLE1	0.0048	0.16	599.3
NLGN2	-0.0025	0.28	163.3
NLK	0.0059	0.08	553.4
NLN	-0.0017	0.07	518.1
NLRC5	-0.0003	0.15	182.6
NLRP1	0.0033	0.23	325.8
NMD3	-0.0002	0.05	3273.4
NME3	0.0004	0.26	1438.6
NME4	-0.0001	0.15	1104.9
NME6	-0.0029	0.15	919.3
NME7	-0.0007	0.27	2907.9
NMI	-0.0012	0.06	2936.8
NMNAT1	-0.0002	0.33	107.6
NMNAT2	0.0003	0.38	117.8
NMRAL1	0.0002	0.12	1952.3
NMT1	0.0007	0.02	2459.5
NMU	-0.0014	0.21	2512.7
NNMT	-0.0004	0.07	8263.9
NNT	-0.0029	0.05	1923.5
NOB1	0.0035	0.16	2742.8
NOC2L	-0.0013	0.23	835.5
NOC3L	0.0031	0.03	6067.3
NOD1	0.0039	0.34	135.1
NOL10	-0.0004	0.34	927.7
NOL11	0.0013	0.26	6265.9
NOL3	0.0031	0.18	767
NOL6	0.0008	0.33	295.9
NOL8	0.0004	0.09	2213.6
NOL9	0.0001	0.13	1328.5
NOLC1	-0.0007	0.06	6263.3
NOM1	0.0022	0.19	464.4
NONO	-0.0009	0.12	12781.3
NOP10	-0.0015	0.32	15770.7
NOP14	0.0003	0.11	628.2
NOP16	0.0036	0.09	3721.9
NOP56	0.0004	0.23	6109.6
NOP58	-0.0009	0.23	9192.2
NOSIP	-0.0003	0.07	3629.4
NOTCH1	0.0046	0.49	292.1
NOTCH2	-0.0016	0.04	1601.8
NOTCH2NL	0.0073	0.24	1532.2
NOV	-0.0003	0.14	908.3
NP	0.0018	0.33	3559.6
NPAS2	-0.0018	0.19	153.8
NPAT	0.0076	0.12	537.1
NPC1	0.0032	0.14	947.6
NPC2	0.0001	0.11	5955.4
NPDC1	-0.0018	0.23	1616.3
NPEPL1	-0.0019	0.38	282.3
NPEPPS	0.0025	0.1	3386.3
NPHP1	-0.0027	0.22	163.6
NPHP3	-0.0008	0.49	154.3
NPL	-0.0023	0.38	230.9
NPLOC4	-0.0011	0.29	1228.1
NPM1	-0.0009	0.14	18233.8
NPNT	-0.0024	0.16	704.4
NPR1	0.0003	0.36	323.4
NPR3	0.0011	0.11	1719.8
NPTN	-0.003	0.07	1211.8
NPTX1	0.0001	0.26	1384.5
NQO1	-0.0014	0.08	10546.3
NQO2	-0.0012	0.14	5278.1
NR1H2	0.0036	0.15	692.9
NR1H3	0.0004	0.11	722
NR2C1	0.0017	0.08	332.4
NR2C2	0.0056	0.09	1215.6
NR2F1	0.0034	0.3	476.2
NR2F2	0.0051	0.12	707.3
NR2F6	0.0038	0.23	1911.1
NR3C1	0.0036	0.06	2710.1
NR4A1	0.0087	0.46	178.1
NRAS	-0.0014	0.02	4151.8
NRBF2	0.0097	0.2	1229.9
NRBP1	0.001	0.1	1069.7
NRBP2	-0.005	0.11	370.8
NRCAM	-0.0019	0.1	102.1
NRD1	-0.0013	0.05	1695.9
NRF1	0.0105	0.11	212.4
NRG4	-0.0034	0.14	201.6
NRIP1	0.0124	0.28	481.3
NRIP3	-0.0013	0.07	669.9
NSD1	-0.0008	0.28	149
NSDHL	-0.0008	0.09	2421.4
NSF	-0.0014	0.06	3572.3
NSFL1C	-0.0016	0.11	1583.2
NSL1	-0.0029	0.21	1150.7
NSMAF	-0.0012	0.1	662.5
NSMCE1	-0.0014	0.08	3949.5
NSMCE2	-0.0021	0.23	1871.7
NSMCE4A	0.0011	0.06	1917.6
NSUN2	-0.0005	0.1	6048.8
NSUN3	0.0084	0.23	286.4
NSUN4	0.0034	0.08	584.1
NT5C	-0.0002	0.45	300.5
NT5C2	-0.0004	0.28	955.3
NT5C3	-0.0007	0.06	1917.6
NT5C3L	-0.0014	0.07	3142.5
NT5DC1	-0.0025	0.1	894.7
NT5DC2	-0.0017	0.08	1828.5
NT5E	0.0006	0.3	402.6
NTAN1	-0.0008	0.44	1287.8
NTHL1	0.0008	0.14	1496.8
NTN4	-0.0012	0.5	259
NUAK1	0.007	0.4	1841.7
NUB1	-0.007	0.25	823.1
NUBP1	0.0013	0.12	1516.9
NUCB1	-0.0005	0.14	793.2
NUCB2	-0.0056	0.02	1103.3
NUCKS1	-0.0034	0.14	6520.4
NUDC	-0.0009	0.06	6178.6
NUDCD1	0.0001	0.05	1282.9
NUDCD2	-0.0011	0.14	2436.6
NUDCD3	-0.0008	0.27	137.6
NUDT1	-0.0025	0.24	1110.4
NUDT15	-0.0019	0.34	2224.6
NUDT16	0.0003	0.1	188.7
NUDT19	-0.0034	0.45	1516.4
NUDT2	-0.0008	0.3	518
NUDT21	-0.0013	0.08	3146.1
NUDT22	0.0001	0.11	1163.2
NUDT3	0.0008	0.22	529.5
NUDT4P1	0.0013	0.06	1262.9
NUDT5	-0.0022	0.08	4603.7
NUDT6	-0.0011	0.13	280.5
NUDT9	-0.003	0.28	1584.7
NUF2	-0.0035	0.09	1913.2
NUFIP1	0.0049	0.45	355.4
NUFIP2	0.0115	0.28	1301
NUMA1	0.0026	0.14	552.2
NUMB	-0.0015	0.25	275.3
NUMBL	0.0011	0.23	579.6
NUP107	-0.001	0.08	5088
NUP133	-0.0011	0.23	654.7
NUP153	0.0049	0.24	804.8
NUP155	0.0007	0.17	1848.6
NUP160	-0.0016	0.04	2290.9
NUP188	-0.0022	0.27	1072.3
NUP205	-0.0001	0.12	2877.2
NUP210	-0.0016	0.15	757.6
NUP214	0.0024	0.04	604.2
NUP37	-0.0009	0.06	5344.3
NUP43	-0.0021	0.11	2132.1
NUP50	0.003	0.06	1097.5
NUP54	0.0006	0.14	1405.9
NUP62CL	-0.002	0.15	446
NUP85	0.0019	0.05	5014.9
NUP88	-0.002	0.13	7050
NUP93	0.0011	0.23	2301.9
NUP98	0.0016	0.05	2132.6
NUPL2	0.0048	0.27	499.6
NUPR1	0.0022	0.29	887.5
NUS1	0.0041	0.02	1542.2
NUSAP1	-0.0009	0.07	7140.6
NXF1	0.001	0.22	3380.4
NXT1	0.0159	0.15	1695.9
NXT2	-0.0018	0.07	1829.4
OAS3	-0.0053	0.3	355.2
OAT	-0.002	0.11	6523.2
OAZ1	-0.0018	0.16	20037.7
OAZ2	0.0002	0.05	1267
OAZ3	0.0021	0.38	146.5
OBFC1	-0.0033	0.41	193.3
OBFC2B	-0.0006	0.23	1352.2
OBSCN	0.0036	0.35	124.9
OBSL1	-0.0006	0.24	245.3
OCEL1	0.0019	0.28	462.5
OCIAD1	-0.0014	0.09	3809.9
OCIAD2	-0.0012	0.11	4529.7
OCLN	0.0045	0.4	155.4
OCRL	-0.0007	0.33	362.2
ODAM	-0.001	0.37	1200
ODC1	-0.0011	0.17	25221.8
ODF2	-0.0014	0.13	616
ODF2L	-0.0013	0.21	130.7
ODZ3	0.0015	0.22	163.8
OFD1	0.0001	0.13	762.2
OGDH	0.0026	0.24	595.1
OGFOD1	-0.0005	0.2	1421.4
OGFOD2	-0.0007	0.11	278.3
OGFR	0.0012	0.35	256.4
OGG1	0.0001	0.3	601.6
OGT	-0.0001	0.08	2433.4
OIP5	-0.0011	0.07	4744.1
OLA1	-0.0032	0.03	4177.5
OLFM1	-0.0004	0.1	396.2
OLFML2A	0.0002	0.43	539.5
OLR1	-0.002	0.12	2561.4
OPA1	-0.002	0.05	572.6
OPA3	0.0016	0.2	143.3
OPN3	0.0002	0.14	955.2
OPTN	-0.0012	0.08	1443.3
ORAI2	-0.0011	0.08	230.2
ORAOV1	0.0017	0.46	256.3
ORC1L	0.001	0.14	1174.4
ORC2L	0.0024	0.16	1332
ORC3L	-0.0014	0.03	4045.9
ORC4L	-0.0004	0.04	1629.6
ORC5L	0.0018	0.06	762.8
ORC6L	-0.001	0.04	1472.8
ORMDL1	-0.0008	0.05	1337.3
ORMDL2	-0.0006	0.05	5368.8
ORMDL3	0.0013	0.17	612.7
OS9	-0.0015	0.05	1823.2
OSBP	0.0019	0.12	820.8
OSBP2	-0.0016	0.25	331.8
OSBPL10	-0.0003	0.16	1335.3
OSBPL11	0.0027	0.03	1332.5
OSBPL1A	-0.0012	0.06	446.8
OSBPL2	0.0013	0.35	591.8
OSBPL3	0.0007	0.07	739.9
OSBPL5	-0.0024	0.23	115.5
OSBPL6	0.003	0.22	370.9
OSBPL8	-0.0031	0.14	2091.4
OSBPL9	-0.0021	0.09	4801.3
OSGEP	0.0005	0.05	687.8
OSGEPL1	-0.0022	0.43	611.2
OSGIN2	0.0063	0.08	508
OSMR	0.0021	0.06	1179.6
OSTC	-0.0041	0.08	5411
OSTF1	-0.0018	0.46	282.5
OTUB1	-0.0009	0.12	1539.5
OTUD1	0.0258	0.46	2751.1
OTUD4	0.0011	0.19	518.5
OTUD5	0.0007	0.34	564
OTUD7B	0.0049	0.13	159.3
OXA1L	0.0003	0.13	4659.2
OXCT1	-0.0019	0.2	11302.2
OXNAD1	0.0018	0.37	875.2
OXSM	0.0083	0.1	2051
OXSR1	0.0018	0.14	5153.2
P2RX4	-0.0018	0.49	177.1
P2RX5	-0.0013	0.05	2232.9
P4HA1	-0.0004	0.13	1093.2
P4HA2	-0.0009	0.06	563.1
P4HB	-0.0015	0.02	6561.8
P4HTM	-0.0011	0.15	673.9
PA2G4	-0.0017	0.13	5465.5
PAAF1	-0.0005	0.14	2196.1
PABPC3	-0.0023	0.18	14998.9
PABPC4	-0.002	0.08	5188.4
PABPCP5	-0.0013	0.23	6015.6
PABPN1	-0.0003	0.01	2243.1
PACRGL	-0.0014	0.32	343.3
PACS2	-0.0051	0.19	350.8
PACSIN3	-0.0017	0.07	454
PAF1	0.001	0.09	1001.1
PAFAH1B1	0.0027	0.05	2452.8
PAFAH1B3	-0.0001	0.06	2007.1
PAFAH2	0.003	0.2	216.2
PAGE1	0.0005	0.15	14339.5
PAICS	-0.002	0.03	7377.8
PAIP1	-0.0013	0.05	4304.8
PAIP2	-0.0013	0.09	6757.4
PAK1	0.0008	0.04	349
PAK1IP1	-0.0015	0.28	1236
PAK2	-0.0013	0.3	907.5
PAK4	0.0014	0.1	496.7
PALLD	0.0002	0.08	5535.1
PALM2	-0.0004	0.28	338.2
PALMD	0.0036	0.24	187.5
PAM	-0.0023	0.03	3659.9
PAN2	-0.001	0.18	455.8
PAN3	0	0.16	1516.9
PANK1	0.0053	0.4	467.8
PANK2	0.0027	0.15	944.9
PANK3	0.0058	0.23	824.1
PANK4	0.002	0.11	985.3
PAPD4	-0.0005	0.43	637.9
PAPD5	0.0044	0.09	907.3
PAPOLA	-0.0014	0.03	5392.1
PAPOLG	0.0118	0.27	392.1
PAPSS1	-0.0015	0.06	4100.6
PAPSS2	-0.002	0.07	1110.3
PAQR4	-0.0014	0.32	373.7
PARD3	0.0008	0.21	309.4
PARD6G	0.0008	0.19	111.7
PARK7	-0.003	0.12	18172.7
PARL	-0.0007	0.12	3038.7
PARN	-0.0016	0.05	1612.9
PARP1	-0.0023	0.24	3950.7
PARP12	0.0018	0.27	800.8
PARP16	0.0009	0.15	373.7
